run_name,model,base_model,source,objective,train_examples,logged_step,logged_epoch,samples_seen,train_loss
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,240,2.5,7672.5,0.2153
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,250,2.6,7979.400000000001,0.2115
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,260,2.71,8316.99,0.2121
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,270,2.81,8623.89,0.2092
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,280,2.92,8961.48,0.2114
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,10,0.11,331.32,1.6238
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,20,0.21,632.52,0.5822
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,30,0.32,963.84,0.4465
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,40,0.42,1265.04,0.4374
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,50,0.53,1596.36,0.4108
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,60,0.64,1927.68,0.3905
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,70,0.74,2228.88,0.3759
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,80,0.85,2560.2,0.3645
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,90,0.96,2891.52,0.36
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,100,1.05,3162.6,0.3333
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,110,1.16,3493.92,0.2938
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,120,1.27,3825.24,0.287
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,130,1.37,4126.4400000000005,0.279
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,140,1.48,4457.76,0.2751
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,150,1.58,4758.96,0.2676
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,160,1.69,5090.28,0.2804
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,170,1.8,5421.6,0.2655
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,180,1.9,5722.8,0.2715
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,190,2.0,6024.0,0.2552
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,200,2.11,6355.32,0.1901
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,210,2.21,6656.52,0.1833
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,220,2.32,6987.839999999999,0.1785
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,230,2.42,7289.04,0.1774
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,240,2.53,7620.36,0.1797
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,250,2.64,7951.68,0.175
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,260,2.74,8252.880000000001,0.1701
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,270,2.85,8584.2,0.1736
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,280,2.96,8915.52,0.1735
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,10,0.1,306.90000000000003,1.9492
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,20,0.21,644.49,0.9125
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,30,0.31,951.39,0.7289
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,40,0.42,1288.98,0.6622
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,50,0.52,1595.88,0.6366
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,60,0.63,1933.47,0.6135
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,70,0.73,2240.37,0.6106
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,80,0.83,2547.27,0.5965
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,90,0.94,2884.86,0.5839
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,100,1.04,3191.76,0.5564
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,110,1.15,3529.35,0.5394
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,120,1.25,3836.25,0.5275
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,130,1.35,4143.150000000001,0.5222
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,140,1.46,4480.74,0.5381
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,150,1.56,4787.64,0.5324
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,160,1.67,5125.23,0.5229
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,170,1.77,5432.13,0.5122
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,180,1.88,5769.719999999999,0.5248
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,190,1.98,6076.62,0.5196
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,200,2.08,6383.52,0.4772
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,210,2.19,6721.11,0.4712
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,220,2.29,7028.01,0.4682
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,230,2.4,7365.599999999999,0.4515
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,240,2.5,7672.5,0.4658
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,250,2.6,7979.400000000001,0.4553
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,260,2.71,8316.99,0.4652
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,270,2.81,8623.89,0.4534
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,280,2.92,8961.48,0.4567
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,10,0.11,331.32,1.9681
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,20,0.21,632.52,0.9536
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,30,0.32,963.84,0.7705
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,40,0.42,1265.04,0.7281
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,50,0.53,1596.36,0.6911
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,60,0.64,1927.68,0.6583
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,70,0.74,2228.88,0.6393
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,10,0.8,2409.6,1.6358
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,80,0.85,2560.2,0.6315
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,90,0.96,2891.52,0.6247
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,100,1.05,3162.6,0.6041
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,110,1.16,3493.92,0.5698
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,120,1.27,3825.24,0.5601
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,130,1.37,4126.4400000000005,0.562
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,140,1.48,4457.76,0.5548
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,150,1.58,4758.96,0.5457
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,160,1.69,5090.28,0.5545
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,170,1.8,5421.6,0.5405
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,180,1.9,5722.8,0.5531
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,190,2.0,6024.0,0.5224
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,200,2.11,6355.32,0.4786
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,210,2.21,6656.52,0.4666
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,220,2.32,6987.839999999999,0.4629
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,230,2.42,7289.04,0.4682
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,240,2.53,7620.36,0.4738
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,250,2.64,7951.68,0.4637
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,260,2.74,8252.880000000001,0.4559
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,270,2.85,8584.2,0.4556
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,280,2.96,8915.52,0.4746
qwen3_235b_judge_shared_synth_reason_verdict,Qwen3-235B,Qwen/Qwen3-235B-A22B,GT Synth,reason+verdict,50,10,0.8,40.0,1.3961
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,10,0.1,306.90000000000003,1.6
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,20,0.21,644.49,0.8584
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,30,0.31,951.39,0.6981
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,40,0.42,1288.98,0.6369
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,50,0.52,1595.88,0.6184
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,60,0.63,1933.47,0.5987
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,70,0.73,2240.37,0.5992
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,80,0.83,2547.27,0.5829
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,90,0.94,2884.86,0.5733
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,100,1.04,3191.76,0.5425
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,110,1.15,3529.35,0.5228
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,120,1.25,3836.25,0.512
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,130,1.35,4143.150000000001,0.511
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,140,1.46,4480.74,0.5236
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,150,1.56,4787.64,0.5145
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,160,1.67,5125.23,0.5095
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,170,1.77,5432.13,0.4977
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,180,1.88,5769.719999999999,0.5099
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,190,1.98,6076.62,0.5036
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,200,2.08,6383.52,0.4575
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,210,2.19,6721.11,0.448
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,220,2.29,7028.01,0.4447
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,230,2.4,7365.599999999999,0.4275
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,240,2.5,7672.5,0.4399
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,250,2.6,7979.400000000001,0.4305
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,260,2.71,8316.99,0.4377
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,270,2.81,8623.89,0.4274
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,280,2.92,8961.48,0.4318
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,10,0.11,331.32,1.6103
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,20,0.21,632.52,0.8839
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,30,0.32,963.84,0.7363
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,40,0.42,1265.04,0.7031
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,50,0.53,1596.36,0.6651
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,60,0.64,1927.68,0.639
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,70,0.74,2228.88,0.6194
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,10,0.8,2409.6,1.4366
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,80,0.85,2560.2,0.618
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,90,0.96,2891.52,0.606
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,100,1.05,3162.6,0.5917
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,110,1.16,3493.92,0.5506
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,120,1.27,3825.24,0.5391
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,130,1.37,4126.4400000000005,0.5395
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,140,1.48,4457.76,0.5365
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,150,1.58,4758.96,0.5267
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,160,1.69,5090.28,0.5295
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,170,1.8,5421.6,0.5216
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,180,1.9,5722.8,0.5314
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,190,2.0,6024.0,0.5011
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,200,2.11,6355.32,0.4422
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,210,2.21,6656.52,0.4349
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,220,2.32,6987.839999999999,0.4293
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,230,2.42,7289.04,0.4311
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,240,2.53,7620.36,0.4369
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,250,2.64,7951.68,0.4293
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,260,2.74,8252.880000000001,0.418
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,270,2.85,8584.2,0.4206
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,280,2.96,8915.52,0.4346
